osm_nid,lat,lng,x,z
osm3666429298,49.99213080,8.67464480,-137.156,280.964
osm3666429094,49.99215510,8.67478060,-134.338,270.693
osm3666430494,49.99262920,8.67290070,-79.293,412.072
osm3666418917,49.99263110,8.67292100,-79.073,410.538
osm3666430983,49.99255930,8.67293710,-87.406,409.394
osm3666430979,49.99255090,8.67284610,-88.379,416.269
osm3666430488,49.99262200,8.67283010,-80.128,417.406
osm3666430489,49.99262400,8.67285100,-79.896,415.827
osm3666429292,49.99208890,8.67363570,-142.006,357.147
osm3666430136,49.99203420,8.67349510,-148.353,367.810
osm3666429256,49.99194060,8.67358330,-159.217,361.247
osm3666429259,49.99196290,8.67364060,-156.629,356.901
osm3666429263,49.99197370,8.67363050,-155.376,357.653
osm3666429280,49.99204250,8.67380710,-147.393,344.259
osm3666429121,49.99222940,8.67371650,-125.702,350.911
osm3666429111,49.99220330,8.67358120,-128.729,361.146
osm3666430880,49.99247330,8.67584580,-97.423,190.004
osm3666430887,49.99248370,8.67592840,-96.217,183.761
osm3666430870,49.99245470,8.67593730,-99.583,183.118
osm3666430876,49.99246350,8.67600680,-98.562,177.866
osm3666430927,49.99237580,8.67603350,-108.740,175.938
osm3666430451,49.99235880,8.67589930,-110.712,186.081
osm3666430959,49.99244660,8.67587250,-100.522,188.016
osm3666430867,49.99244430,8.67585460,-100.789,189.369
osm3666431772,49.99283070,8.67125620,-55.888,535.958
osm3666431742,49.99273560,8.67123830,-66.924,537.403
osm3666431646,49.99270930,8.67123330,-69.976,537.806
osm3666431644,49.99270700,8.67126250,-70.243,535.605
osm3666431734,49.99269200,8.67125960,-71.984,535.839
osm3666431729,49.99268380,8.67136470,-72.937,527.916
osm3666431864,49.99279620,8.67138590,-59.893,526.206
osm3666431861,49.99279460,8.67140660,-60.079,524.645
osm3666431874,49.99281870,8.67141110,-57.282,524.282
osm3666429251,49.99192290,8.67134900,-161.243,529.853
osm3666429265,49.99199290,8.67149010,-153.121,519.137
osm3666428619,49.99199550,8.67145980,-152.819,521.421
osm3666430126,49.99200480,8.67146170,-151.739,521.268
osm3666429272,49.99200930,8.67140950,-151.216,525.203
osm3666428622,49.99199730,8.67140700,-152.609,525.403
osm3666428624,49.99200090,8.67136540,-152.191,528.538
osm3666431881,49.99283900,8.67357910,-54.953,360.676
osm3666431745,49.99273860,8.67365070,-66.606,355.373
osm3666431647,49.99274110,8.67366350,-66.316,354.404
osm3666431653,49.99274770,8.67366040,-65.550,354.632
osm3666431832,49.99275420,8.67369360,-64.796,352.120
osm3666431656,49.99274890,8.67369610,-65.411,351.937
osm3666428307,49.99285690,8.67366840,-52.877,353.920
osm3666430944,49.99238900,8.67613150,-107.210,168.530
osm3666430888,49.99248450,8.67609930,-96.126,170.865
osm3666430892,49.99248560,8.67610690,-95.999,170.291
osm3666430916,49.99251680,8.67609640,-92.378,171.052
osm3666430843,49.99240650,8.67625690,-105.180,159.051
osm3666431668,49.99278490,8.67411320,-61.239,320.429
osm3666431674,49.99278850,8.67413130,-60.821,319.060
osm3666431862,49.99279510,8.67412820,-60.055,319.287
osm3666431760,49.99280160,8.67416140,-59.301,316.776
osm3666431865,49.99279630,8.67416390,-59.916,316.592
osm3666431758,49.99279910,8.67417960,-59.591,315.405
osm3666431682,49.99290610,8.67415270,-47.173,317.329
osm3666431891,49.99286570,8.67144470,-51.828,521.700
osm3666431896,49.99287020,8.67137360,-51.305,527.061
osm3666428302,49.99285300,8.67137090,-53.301,527.281
osm3666428299,49.99285010,8.67141550,-53.638,523.919
osm3666431756,49.99278300,8.67140520,-61.425,524.762
osm3666428618,49.99199490,8.67179080,-152.892,496.446
osm3666429248,49.99191340,8.67178360,-162.351,497.070
osm3666429247,49.99191290,8.67179700,-162.409,496.059
osm3666428275,49.99190480,8.67179630,-163.349,496.120
osm3666428273,49.99190300,8.67184610,-163.558,492.364
osm3666428277,49.99191020,8.67184670,-162.723,492.312
osm3666428276,49.99190840,8.67189500,-162.932,488.669
osm3666469340,49.99392910,8.67375110,71.555,346.621
osm3666469253,49.99385620,8.67376460,63.095,345.674
osm3666469254,49.99385750,8.67378240,63.245,344.330
osm3666467919,49.99362880,8.67382480,36.703,341.356
osm3666467921,49.99363590,8.67391810,37.526,334.309
osm3666469137,49.99364360,8.67391670,38.420,334.407
osm3666469140,49.99364940,8.67399210,39.092,328.712
osm3666469229,49.99370450,8.67398180,45.487,329.435
osm3666469228,49.99370300,8.67396170,45.313,330.953
osm3666469341,49.99394180,8.67391740,73.027,334.060
