osm_nid,lat,lng,x,z
osm1855824739,50.11268520,8.68721200,0.247,-0.402
osm1855824732,50.11267430,8.68721390,0.246,-0.402
osm1855824683,50.11262250,8.68721740,0.240,-0.403
osm1855824646,50.11258390,8.68722190,0.236,-0.403
osm1855824607,50.11252720,8.68638230,0.229,-0.343
osm1855824662,50.11261050,8.68637310,0.239,-0.342
osm1855824680,50.11261930,8.68659160,0.240,-0.358
osm1855824698,50.11263610,8.68661700,0.241,-0.360
osm1855824682,50.11262180,8.68665280,0.240,-0.362
osm1853199489,50.11547280,8.68331350,0.557,-0.124
osm1855824853,50.11344080,8.68647390,0.331,-0.350
osm1855824858,50.11348200,8.68673010,0.335,-0.368
osm1855824848,50.11339500,8.68676390,0.326,-0.370
osm1855824830,50.11335340,8.68650540,0.321,-0.352
osm834246490,50.11323710,8.68168000,0.308,-0.008
osm834246499,50.11326010,8.68174450,0.311,-0.012
osm834246473,50.11350200,8.68153540,0.338,0.003
osm1840766386,50.11304060,8.68179320,0.286,-0.016
osm834326738,50.11311370,8.68183750,0.295,-0.019
osm5838133993,50.11343630,8.68275180,0.330,-0.084
osm2559986973,50.11346670,8.68272720,0.334,-0.082
osm1851828147,50.11167720,8.68059550,0.135,0.070
osm2561866541,50.11210210,8.68226350,0.182,-0.049
osm1851828249,50.11196280,8.68232810,0.167,-0.054
osm2561866533,50.11194770,8.68224900,0.165,-0.048
osm2561866556,50.11218110,8.68214070,0.191,-0.041
osm2561866567,50.11220830,8.68214620,0.194,-0.041
osm2561866573,50.11222320,8.68217190,0.196,-0.043
osm2561866576,50.11222940,8.68220440,0.196,-0.045
osm1851828285,50.11202830,8.68135870,0.174,0.015
osm1851828193,50.11179770,8.68144200,0.148,0.009
osm1851828173,50.11177160,8.68141900,0.145,0.011
osm1851828362,50.11219920,8.68356740,0.193,-0.142
osm2561866593,50.11233980,8.68350190,0.208,-0.138
osm2561866591,50.11231160,8.68335400,0.205,-0.127
osm1851828356,50.11217080,8.68341890,0.190,-0.132
osm1851828482,50.11248050,8.68343690,0.224,-0.133
osm2561866492,50.11247170,8.68339050,0.223,-0.130
osm2561866497,50.11246140,8.68333660,0.222,-0.126
osm1851828337,50.11209890,8.68303720,0.182,-0.104
osm2561866578,50.11223910,8.68297260,0.197,-0.100
osm2561866564,50.11220590,8.68280330,0.194,-0.088
osm1851828322,50.11206580,8.68286830,0.178,-0.092
osm2561866535,50.11203280,8.68157900,0.174,-0.000
osm1851828240,50.11193400,8.68161490,0.163,-0.003
osm1851828454,50.11237920,8.68290720,0.213,-0.095
osm2561866501,50.11237180,8.68286990,0.212,-0.093
osm2561866509,50.11235590,8.68278870,0.210,-0.087
osm1851828262,50.11199400,8.68249180,0.170,-0.066
osm2561866545,50.11213330,8.68242720,0.186,-0.061
osm1851828408,50.11227260,8.68236260,0.201,-0.056
osm2561866484,50.11225480,8.68226960,0.199,-0.050
osm1851828390,50.11224130,8.68219890,0.198,-0.045
osm1851853781,50.11226200,8.68194190,0.200,-0.026
osm1851828450,50.11234820,8.68017420,0.209,0.100
osm1851828315,50.11203980,8.68030170,0.175,0.091
osm2561866523,50.11157140,8.67977550,0.123,0.128
osm1851828206,50.11181950,8.68035340,0.151,0.087
osm1851828028,50.11157640,8.68046730,0.124,0.079
osm2561866519,50.11145990,8.67986310,0.111,0.122
osm2561866521,50.11146550,8.67986040,0.111,0.122
osm2561866580,50.11224560,8.68191640,0.198,-0.025
osm2561866575,50.11222430,8.68175000,0.196,-0.013
osm2561866569,50.11221520,8.68175280,0.195,-0.013
osm2581124062,50.10981200,8.68728550,-0.073,-0.407
osm1854320977,50.11040110,8.68780910,-0.007,-0.445
osm845735433,50.11040050,8.68787890,-0.007,-0.450
osm1856003498,50.10958620,8.68929100,-0.098,-0.550
osm2581124108,50.11070780,8.68727280,0.027,-0.407
osm2581124107,50.11067210,8.68711740,0.023,-0.395
osm2581124111,50.11082830,8.68703010,0.040,-0.389
osm2581124112,50.11086400,8.68718550,0.044,-0.400
osm1855754607,50.10955370,8.68986000,-0.101,-0.591
osm2581124117,50.11102860,8.68785790,0.063,-0.448
osm2581124121,50.11116370,8.68786760,0.078,-0.449
osm2581124122,50.11116800,8.68771540,0.078,-0.438
osm2581124118,50.11103290,8.68770600,0.063,-0.437
osm2581124116,50.11102340,8.68691600,0.062,-0.381
osm845735473,50.11088940,8.68700570,0.047,-0.387
osm845735390,50.11092900,8.68714990,0.052,-0.398
osm2581124119,50.11106310,8.68706020,0.067,-0.391
osm863170335,50.11150960,8.69144550,0.116,-0.704
osm863170572,50.11140650,8.69143670,0.105,-0.703
osm2581124132,50.11129880,8.68787730,0.093,-0.450
osm2581124133,50.11130310,8.68772470,0.093,-0.439
osm1854321101,50.11196430,8.68667130,0.167,-0.364
osm1854321098,50.11193790,8.68667880,0.164,-0.364
osm1854321095,50.11189430,8.68668360,0.159,-0.365
osm1854321092,50.11185980,8.68669230,0.155,-0.365
osm2581124120,50.11115750,8.68682630,0.077,-0.375
osm2581124125,50.11119720,8.68697050,0.081,-0.385
osm2581124070,50.10993320,8.68654400,-0.059,-0.355
osm2581124079,50.11005150,8.68649060,-0.046,-0.351
osm2581124081,50.11008090,8.68664880,-0.043,-0.362
osm863439102,50.11102200,8.69148240,0.062,-0.707
osm863438983,50.11101000,8.69167910,0.061,-0.721
osm2581124215,50.11254900,8.69204010,0.232,-0.746
osm2581124206,50.11246850,8.69205040,0.223,-0.747
osm2581124207,50.11247560,8.69218490,0.224,-0.757
osm2581124208,50.11247640,8.69220050,0.224,-0.758
osm2581124131,50.11129800,8.68790370,0.093,-0.452
osm2581124143,50.11135590,8.68790780,0.099,-0.452
osm2581124144,50.11135670,8.68788140,0.099,-0.450
osm845735498,50.11143390,8.68788700,0.108,-0.450
osm845735396,50.11143560,8.68782650,0.108,-0.446
osm845735503,50.11143820,8.68773400,0.108,-0.439
osm2581124139,50.11133130,8.68688080,0.096,-0.379
osm861135227,50.11016980,8.68643710,-0.033,-0.347
osm861135199,50.11019920,8.68659530,-0.030,-0.358
osm863214852,50.11001970,8.68933520,-0.050,-0.554
osm2581124082,50.11008100,8.68923640,-0.043,-0.547
osm2581124083,50.11008400,8.68911350,-0.042,-0.538
osm857608057,50.11300980,8.68994170,0.283,-0.597
osm857608091,50.11295750,8.69008570,0.277,-0.607
osm2581124203,50.11231270,8.69220580,0.205,-0.758
osm2581124201,50.11230440,8.69204840,0.205,-0.747
osm2581124205,50.11246730,8.69202750,0.223,-0.746
osm2581124126,50.11121900,8.68734270,0.084,-0.412
osm845735509,50.11120560,8.68712520,0.082,-0.396
osm845735407,50.11130850,8.68710980,0.094,-0.395
osm2581124138,50.11132200,8.68732730,0.095,-0.410
osm855148803,50.11346150,8.69006280,0.333,-0.605
osm2581124152,50.11149540,8.68657680,0.115,-0.357
osm2581124141,50.11135420,8.68685070,0.099,-0.376
osm2581124155,50.11153750,8.68671130,0.119,-0.366
osm2581124237,50.11309180,8.69001410,0.292,-0.602
osm2581124236,50.11303950,8.69015810,0.286,-0.612
osm863276462,50.11036210,8.68954610,-0.011,-0.569
osm863276418,50.11027530,8.68969430,-0.021,-0.579
osm845735501,50.11123250,8.68756020,0.085,-0.427
osm845735461,50.11133540,8.68754470,0.097,-0.426
osm1856226026,50.11314530,8.69226790,0.298,-0.763
