osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w416982099,Castro Street012,highway,secondary,road,4,37.3936262,-122.0790781,-0.6798,-2.0175,0,0
w416982104,Castro Street013,highway,secondary,road,3,37.3927313,-122.0796279,-0.7284,-2.1170,0,0
w416982108,Castro Street014,highway,secondary,road,5,37.3940833,-122.0787992,-0.6552,-1.9667,0,0
w416982116,Castro Street015,highway,secondary,road,3,37.3931449,-122.0793738,-0.7059,-2.0710,0,0
w416982122,Castro Street016,highway,secondary,road,4,37.3947360,-122.0784369,-0.6232,-1.8941,0,0
w416982130,East Evelyn Avenue005,highway,secondary,road,3,37.3901568,-122.0659842,0.4766,-2.4033,0,0
w416982139,East Evelyn Avenue006,highway,secondary,road,2,37.3900627,-122.0654350,0.5252,-2.4137,0,0
w416982180,East Evelyn Avenue007,highway,secondary,road,3,37.3892236,-122.0635865,0.6884,-2.5070,0,0
w416982219,West Evelyn Avenue011,highway,secondary,road,2,37.3932855,-122.0746314,-0.2871,-2.0554,0,0
w416982236,West Evelyn Avenue012,highway,secondary,road,4,37.3928037,-122.0734351,-0.1814,-2.1090,0,0
w416985766,Moffett Boulevard017,highway,secondary,road,3,37.3977641,-122.0763690,-0.4405,-1.5574,0,0
w416985768,Moffett Boulevard018,highway,secondary,road,2,37.3988114,-122.0751884,-0.3363,-1.4409,0,0
w416985770,Moffett Boulevard019,highway,secondary,road,3,37.3991742,-122.0746677,-0.2903,-1.4006,0,0
w416985771,Moffett Boulevard020,highway,secondary,road,4,37.3974134,-122.0766225,-0.4629,-1.5964,0,0
w416985773,Moffett Boulevard021,highway,secondary,road,6,37.3995292,-122.0741823,-0.2474,-1.3611,0,0
w416985778,Moffett Boulevard022,highway,secondary,road,4,37.3968802,-122.0769629,-0.4930,-1.6557,0,0
w416990268,Leong Drive002,highway,tertiary,road,2,37.4044780,-122.0674881,0.3438,-0.8108,0,0
w416990277,Moffett Boulevard023,highway,secondary,road,10,37.4023869,-122.0705418,0.0741,-1.0434,0,0
w416990286,Moffett Boulevard024,highway,secondary,road,2,37.4018961,-122.0708819,0.0441,-1.0979,0,0
w416990294,Moffett Boulevard025,highway,secondary,road,2,37.4044038,-122.0680217,0.2967,-0.8191,0,0
w416990301,Moffett Boulevard026,highway,secondary,road,2,37.4012722,-122.0717302,-0.0308,-1.1673,0,0
w416990307,Moffett Boulevard027,highway,secondary,road,2,37.4041896,-122.0682407,0.2774,-0.8429,0,0
w416990315,Moffett Boulevard028,highway,secondary,road,3,37.4015750,-122.0713174,0.0056,-1.1336,0,0
w416990322,Moffett Boulevard029,highway,secondary,road,5,37.4007919,-122.0723725,-0.0876,-1.2207,0,0
w416990330,Moffett Boulevard030,highway,secondary,road,5,37.4048558,-122.0678178,0.3147,-0.7688,0,0
w416990334,Moffett Boulevard031,highway,secondary,road,6,37.4032376,-122.0692669,0.1867,-0.9488,0,0
w416990337,secondary_link012,highway,secondary_link,road,2,37.4044446,-122.0677761,0.3184,-0.8145,0,0
w416992721,Calderon Avenue003,highway,tertiary,road,3,37.3907893,-122.0721914,-0.0716,-2.3329,0,0
w416992739,Calderon Avenue004,highway,tertiary,road,4,37.3918726,-122.0715553,-0.0154,-2.2125,0,0
w416992757,West Dana Street006,highway,tertiary,road,2,37.3895595,-122.0723398,-0.0847,-2.4697,0,0
w416992772,West Dana Street007,highway,tertiary,road,2,37.3896578,-122.0728212,-0.1272,-2.4588,0,0
w416992779,West Dana Street008,highway,tertiary,road,2,37.3895263,-122.0724872,-0.0977,-2.4734,0,0
w416992798,West Dana Street009,highway,tertiary,road,4,37.3897399,-122.0730512,-0.1475,-2.4496,0,0
w417072796,Maude Avenue002,highway,tertiary,road,3,37.3951297,-122.0470811,2.1462,-1.8503,0,0
w417072898,West Maude Avenue003,highway,secondary,road,3,37.3945962,-122.0454634,2.2891,-1.9096,0,0
w417072912,West Maude Avenue004,highway,secondary,road,13,37.3941301,-122.0441028,2.4092,-1.9615,0,0
w417078281,East Middlefield Road026,highway,secondary,road,2,37.3926372,-122.0499356,1.8941,-2.1275,0,0
w417078283,East Middlefield Road027,highway,secondary,road,2,37.3932120,-122.0505017,1.8441,-2.0636,0,0
w417078287,East Middlefield Road028,highway,secondary,road,2,37.3929392,-122.0502334,1.8678,-2.0939,0,0
w417078291,East Middlefield Road029,highway,secondary,road,2,37.3926785,-122.0503239,1.8598,-2.1229,0,0
w417078293,East Middlefield Road030,highway,secondary,road,2,37.3923493,-122.0500098,1.8875,-2.1595,0,0
w417078296,East Middlefield Road031,highway,secondary,road,3,37.3958743,-122.0541360,1.5231,-1.7675,0,0
w417078298,East Middlefield Road032,highway,secondary,road,2,37.3942055,-122.0514807,1.7576,-1.9531,0,0
w417078301,East Middlefield Road033,highway,secondary,road,3,37.3944428,-122.0518846,1.7219,-1.9267,0,0
w417078307,East Middlefield Road034,highway,secondary,road,3,37.3961384,-122.0547844,1.4658,-1.7382,0,0
w417078314,East Middlefield Road035,highway,secondary,road,3,37.3909844,-122.0485140,2.0196,-2.3113,0,0
w417078321,East Middlefield Road036,highway,secondary,road,3,37.3928975,-122.0505382,1.8409,-2.0985,0,0
