osm_nid,lat,lng,x,z
osm553500938,37.41986100,-122.07141370,-0.208,0.748
osm1394441063,37.41990120,-122.07139440,-0.203,0.747
osm187607577,37.42016450,-122.07126820,-0.174,0.736
osm65525539,37.41326170,-122.07342460,-0.942,0.926
osm4053678510,37.41316270,-122.07342760,-0.953,0.926
osm6412437863,37.41314420,-122.07342790,-0.955,0.926
osm1073498671,37.41282580,-122.07343220,-0.990,0.927
osm6292746118,37.41193090,-122.07345130,-1.090,0.928
osm1197241543,37.41167690,-122.07343500,-1.118,0.927
osm6987929734,37.41149740,-122.07343430,-1.138,0.927
osm447911047,37.41300810,-122.06921030,-0.970,0.554
osm447911051,37.41306270,-122.06927030,-0.964,0.559
osm1394514992,37.41307060,-122.06932660,-0.963,0.564
osm65534290,37.41308310,-122.06941630,-0.961,0.572
osm1197241488,37.41308890,-122.06955780,-0.961,0.585
osm1394514998,37.41312010,-122.07034780,-0.957,0.654
osm657472781,37.41314990,-122.07110150,-0.954,0.721
osm1394515003,37.41316450,-122.07144000,-0.952,0.751
osm1394515006,37.41318810,-122.07198940,-0.950,0.799
osm4053678509,37.41319970,-122.07229310,-0.949,0.826
osm65534292,37.41320590,-122.07240320,-0.948,0.836
osm65550150,37.41708040,-122.07352630,-0.517,0.935
osm6821638698,37.41241980,-122.06413410,-1.035,0.106
osm65379553,37.40622170,-122.05000080,-1.724,-1.143
osm689464198,37.40644760,-122.05031800,-1.699,-1.115
osm689464199,37.40663300,-122.05057010,-1.679,-1.092
osm689464202,37.40678210,-122.05074980,-1.662,-1.076
osm7069185396,37.40685920,-122.05083500,-1.654,-1.069
osm689464203,37.40693980,-122.05092410,-1.645,-1.061
osm65564288,37.40712730,-122.05111730,-1.624,-1.044
osm689464206,37.40730410,-122.05128090,-1.604,-1.030
osm689464208,37.40751720,-122.05143380,-1.580,-1.016
osm689464209,37.40774090,-122.05157590,-1.556,-1.003
osm689464213,37.40798800,-122.05171810,-1.528,-0.991
osm65491720,37.40846370,-122.05196360,-1.475,-0.969
osm6896516570,37.40892500,-122.05219590,-1.424,-0.949
osm686294097,37.40898380,-122.05222480,-1.417,-0.946
osm686294100,37.40925630,-122.05234990,-1.387,-0.935
osm686294101,37.41091380,-122.05319740,-1.203,-0.860
osm686294527,37.41098630,-122.05326180,-1.195,-0.855
osm686294529,37.41102890,-122.05333150,-1.190,-0.848
