osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w24443355,footway017,highway,footway,walkway,13,37.4218819,-122.0850364,-1.9514,0.0169,0,0
w24443363,footway018,highway,footway,walkway,9,37.4218880,-122.0837219,-1.8353,0.0176,0,0
w24443493,Inigo Way,highway,residential,slowroad,4,37.4153027,-122.0756229,-1.1201,-0.7147,0,0
w24562437,footway019,highway,footway,walkway,16,37.4237496,-122.0821625,-1.6976,0.2246,0,0
w27807356,motorway_link010,highway,motorway_link,highway,14,37.4146336,-122.0835306,-1.8184,-0.7891,0,0
w27889288,motorway_link011,highway,motorway_link,highway,6,37.4143514,-122.0851286,-1.9595,-0.8205,0,0
w29232212,footway020,highway,footway,walkway,8,37.4293574,-122.0840675,-1.8658,0.8481,0,0
w29232226,footway021,highway,footway,walkway,80,37.4322155,-122.0800138,-1.5079,1.1659,0,0
w29288080,San Francisco Bay Trail002,highway,cycleway,walkway,62,37.4336322,-122.0748201,-1.0492,1.3235,0,0
w30990690,motorway_link012,highway,motorway_link,highway,8,37.4134478,-122.0809776,-1.5930,-0.9209,0,0
w32405058,North Shoreline Boulevard009,highway,unclassified,road,51,37.4321984,-122.0813859,-1.6290,1.1640,0,0
w34171687,service012,highway,service,driveway,23,37.4213138,-122.0841124,-1.8698,-0.0463,0,0
w34171715,service013,highway,service,driveway,3,37.4214767,-122.0825223,-1.7294,-0.0282,0,0
w34171717,service014,highway,service,driveway,2,37.4212950,-122.0825629,-1.7330,-0.0484,0,0
w34172045,service015,highway,service,driveway,13,37.4161002,-122.0755356,-1.1124,-0.6260,0,0
w34172060,service016,highway,service,driveway,4,37.4157013,-122.0756631,-1.1237,-0.6704,0,0
w34172067,service017,highway,service,driveway,11,37.4170310,-122.0817231,-1.6588,-0.5225,0,0
w34172078,service018,highway,service,driveway,4,37.4175662,-122.0816760,-1.6546,-0.4630,0,0
w34172081,service019,highway,service,driveway,19,37.4171450,-122.0841996,-1.8775,-0.5098,0,0
w34172099,service020,highway,service,driveway,3,37.4173461,-122.0834640,-1.8126,-0.4875,0,0
w34172130,service021,highway,service,driveway,3,37.4168827,-122.0842594,-1.8828,-0.5390,0,0
w34172131,service022,highway,service,driveway,3,37.4168755,-122.0841162,-1.8701,-0.5398,0,0
w34172147,service023,highway,service,driveway,3,37.4174220,-122.0848407,-1.9341,-0.4790,0,0
w34172151,service024,highway,service,driveway,5,37.4163001,-122.0836375,-1.8279,-0.6038,0,0
w34172156,service025,highway,service,driveway,2,37.4160086,-122.0847335,-1.9247,-0.6362,0,0
w34172159,service026,highway,service,driveway,3,37.4165547,-122.0841092,-1.8695,-0.5755,0,0
