osm_nid,lat,lng,x,z
osm1363479441,1.27272630,103.83288710,0.126,-0.417
osm409638787,1.28029180,103.82685100,0.968,0.254
osm4310817156,1.28022370,103.82681720,0.960,0.258
osm7165670941,1.28010450,103.82675260,0.947,0.265
osm409638789,1.28025030,103.82769900,0.963,0.160
osm7013287546,1.28009900,103.82761960,0.946,0.169
osm409638790,1.27985100,103.82748940,0.919,0.183
osm409638791,1.27867990,103.82987410,0.788,-0.082
osm409638792,1.27832050,103.82970460,0.748,-0.063
osm409638793,1.27841650,103.82994840,0.759,-0.090
osm7007669406,1.27838560,103.82993210,0.756,-0.088
osm1790057725,1.27835550,103.82991610,0.752,-0.086
osm6275749777,1.27817570,103.82981840,0.732,-0.075
osm409638796,1.27774460,103.83217820,0.684,-0.338
osm4723854598,1.27773450,103.83217300,0.683,-0.337
osm409638797,1.27739720,103.83200020,0.646,-0.318
osm409638801,1.27627800,103.83492970,0.521,-0.644
osm409638803,1.27597840,103.83499660,0.488,-0.651
osm1780183154,1.27893390,103.83676160,0.817,-0.847
osm409638813,1.27894300,103.83682290,0.818,-0.854
osm249792093,1.27893210,103.83688380,0.816,-0.861
osm7121766912,1.27890170,103.83693750,0.813,-0.867
osm7121766915,1.27886760,103.83696990,0.809,-0.870
osm1780183155,1.27882640,103.83699250,0.805,-0.873
osm1780183156,1.27878080,103.83700390,0.800,-0.874
osm1831870462,1.27873380,103.83700340,0.794,-0.874
osm1780183157,1.27868850,103.83699090,0.789,-0.873
osm409638805,1.27864790,103.83696740,0.785,-0.870
osm1780183158,1.27861520,103.83693390,0.781,-0.866
osm249798387,1.27872420,103.83317540,0.793,-0.449
osm409640440,1.27869620,103.83313940,0.790,-0.445
osm1704365464,1.27868070,103.83309660,0.788,-0.440
osm409640442,1.27867920,103.83305100,0.788,-0.435
osm1704365485,1.27869440,103.83300210,0.790,-0.429
osm409640444,1.27872570,103.83296150,0.793,-0.425
osm4711956087,1.27877140,103.83293320,0.799,-0.422
osm409640445,1.27882430,103.83292350,0.804,-0.421
osm249798383,1.27887710,103.83293370,0.810,-0.422
osm1704365505,1.27895160,103.83299980,0.819,-0.429
osm409640450,1.27896710,103.83304460,0.820,-0.434
osm249798385,1.27896740,103.83309200,0.820,-0.439
osm409640452,1.27895240,103.83313700,0.819,-0.444
osm1704365431,1.27891550,103.83318210,0.815,-0.449
osm409640454,1.27886380,103.83320910,0.809,-0.452
osm5131269910,1.27880570,103.83321360,0.802,-0.453
osm1704365446,1.27876190,103.83320090,0.797,-0.451
osm682715687,1.27012330,103.82164700,-0.163,0.833
osm1992265731,1.27010700,103.82160900,-0.165,0.837
osm566522006,1.27226870,103.83325270,0.075,-0.457
osm6167621567,1.27223280,103.83306450,0.071,-0.436
osm6095921735,1.27222540,103.83299270,0.071,-0.428
osm6095921736,1.27221880,103.83285460,0.070,-0.413
osm566195394,1.27222030,103.83278500,0.070,-0.405
osm4600804468,1.27222300,103.83274160,0.070,-0.400
osm1363479421,1.27222280,103.83264290,0.070,-0.389
osm4600804469,1.27222430,103.83252480,0.071,-0.376
osm4600804470,1.27222320,103.83242430,0.070,-0.365
osm566195395,1.27220650,103.83230380,0.069,-0.352
osm1363479422,1.27217710,103.83219590,0.065,-0.340
osm4600804472,1.27214150,103.83210890,0.061,-0.330
osm4600804471,1.27210380,103.83203870,0.057,-0.322
osm566195396,1.27204620,103.83195390,0.051,-0.313
osm1363479413,1.27185350,103.83171500,0.029,-0.286
osm1366945056,1.27170100,103.83154190,0.012,-0.267
osm566531285,1.27738460,103.82717270,0.644,0.219
osm566531286,1.27733660,103.82682980,0.639,0.257
osm566531287,1.27734050,103.82647000,0.639,0.297
osm158078201,1.27747350,103.82592790,0.654,0.357
osm158089356,1.27749170,103.82705920,0.656,0.231
osm1363463372,1.27755840,103.82734200,0.664,0.200
osm158089039,1.27765310,103.82760140,0.674,0.171
osm158089329,1.27781140,103.82788090,0.692,0.140
osm158089022,1.27807700,103.82820560,0.721,0.104
osm1363463375,1.27826660,103.82838580,0.742,0.084
osm158089184,1.27848170,103.82855190,0.766,0.065
osm571492705,1.27871730,103.82871260,0.793,0.048
osm566531294,1.27757840,103.82597690,0.666,0.352
osm566531295,1.27747670,103.82638050,0.655,0.307
osm566531296,1.27745060,103.82671380,0.652,0.270
osm1363463371,1.27752820,103.82576700,0.660,0.375
osm158078189,1.27759020,103.82562520,0.667,0.391
osm1363457027,1.27793850,103.82494440,0.706,0.466
osm566531297,1.27819510,103.82435810,0.734,0.532
osm571492703,1.27866350,103.82881720,0.787,0.036
osm158078301,1.27840410,103.82864730,0.758,0.055
osm1363463374,1.27819200,103.82848430,0.734,0.073
osm158078280,1.27799080,103.82830470,0.712,0.093
osm1363463373,1.27773150,103.82798110,0.683,0.129
osm158078266,1.27757260,103.82769370,0.665,0.161
osm1363463370,1.27747060,103.82744320,0.654,0.189
osm571492649,1.27995020,103.82984020,0.930,-0.078
osm1790050943,1.27963210,103.82955540,0.894,-0.046
osm1790050933,1.27930980,103.82928420,0.858,-0.016
osm1790050925,1.27900200,103.82905480,0.824,0.009
osm571492704,1.28002260,103.82975100,0.938,-0.068
osm158088842,1.28019590,103.82991320,0.957,-0.086
osm1790057750,1.28040770,103.83013520,0.980,-0.111
osm1790057752,1.28060160,103.83035670,1.002,-0.135
osm249799931,1.28091760,103.83070540,1.037,-0.174
osm1790050926,1.27906750,103.82895660,0.831,0.020
osm1790050934,1.27938970,103.82919380,0.867,-0.006
osm1790050944,1.27971200,103.82946630,0.903,-0.036
osm596417125,1.26709160,103.82228740,-0.500,0.762
osm5150001273,1.26726860,103.82168190,-0.481,0.829
osm5150001274,1.26727390,103.82164300,-0.480,0.833
osm5150001275,1.26726590,103.82159270,-0.481,0.839
osm5150001276,1.26724850,103.82155520,-0.483,0.843
osm5150001277,1.26720220,103.82152560,-0.488,0.846
osm596417126,1.26696360,103.82144050,-0.514,0.856
osm5150001278,1.26683420,103.82136000,-0.529,0.865
osm5150001279,1.26678930,103.82131780,-0.534,0.870
osm1101782110,1.26668920,103.82120140,-0.545,0.883
osm596417128,1.26658650,103.82114810,-0.556,0.888
osm596417129,1.26635050,103.82116040,-0.583,0.887
osm596417133,1.26620890,103.82113690,-0.598,0.890
osm6105990143,1.26602430,103.82108780,-0.619,0.895
osm596417223,1.26924790,103.82215830,-0.260,0.776
osm596417226,1.26917070,103.82203220,-0.269,0.790
osm3686388567,1.26914230,103.82210370,-0.272,0.782
osm682716070,1.26912090,103.82223590,-0.275,0.768
osm3686388572,1.26911740,103.82236250,-0.275,0.753
osm6459145515,1.26921350,103.82235390,-0.264,0.754
osm596417231,1.26927160,103.82234870,-0.258,0.755
osm1830344010,1.27718640,103.82018250,0.622,0.996
