osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w165440025,علي بن عمر العطية08,highway,primary,road,10,25.2841012,51.5441873,1.0913,-0.2853,0,0
w165440026,علي بن عمر العطية09,highway,primary,road,4,25.2857763,51.5440515,1.0776,-0.0990,0,0
w165440027,دوار المرقاب02,highway,tertiary,road,5,25.2865993,51.5401851,0.6889,-0.0075,0,0
w165440028,شارع المتحف05,highway,tertiary,road,2,25.2867131,51.5436815,1.0404,0.0051,0,0
w165440039,شارع الكورنيش09,highway,trunk,road,2,25.2840248,51.5516323,1.8398,-0.2938,0,0
w165440045,شارع الكورنيش10,highway,trunk,road,38,25.2891897,51.5488982,1.5649,0.2805,0,0
w165440052,الطريق الدائري الثالثي10,highway,trunk,road,9,25.2823922,51.5516572,1.8423,-0.4753,0,0
w165440087,motorway_link08,highway,motorway_link,highway,13,25.2843377,51.5513894,1.8154,-0.2590,0,0
w165440092,motorway_link09,highway,motorway_link,highway,2,25.2835804,51.5515836,1.8349,-0.3432,0,0
w165440096,motorway_link10,highway,motorway_link,highway,2,25.2840109,51.5519281,1.8696,-0.2954,0,0
w165440103,motorway_link11,highway,motorway_link,highway,4,25.2835662,51.5524390,1.9209,-0.3448,0,0
w165440105,trunk_link16,highway,trunk_link,road,8,25.2828984,51.5517262,1.8493,-0.4190,0,0
w165440124,لمعتز01,highway,residential,slowroad,4,25.2830437,51.5462231,1.2960,-0.4029,0,0
w165483424,service103,highway,service,driveway,2,25.2813492,51.5316186,-0.1724,-0.5913,0,0
w165483425,الندوة,highway,unclassified,road,9,25.2821469,51.5315206,-0.1822,-0.5026,0,0
w165483426,أم طاقة,highway,residential,slowroad,5,25.2820392,51.5308259,-0.2521,-0.5146,0,0
w165483427,النبعة,highway,residential,slowroad,2,25.2822047,51.5318250,-0.1516,-0.4962,0,0
w165483428,الجساسية,highway,service,driveway,4,25.2819589,51.5315856,-0.1757,-0.5235,0,0
w165487280,شارع احمد بن محمد بن ثني09,highway,primary,road,4,25.2802276,51.5357333,0.2413,-0.7160,0,0
w165487281,شارع الكورنيش11,highway,trunk,road,4,25.2846924,51.5515811,1.8347,-0.2196,0,0
w165487285,علي بن عمر العطية10,highway,primary,road,4,25.2861277,51.5441990,1.0925,-0.0600,0,0
w165487286,دوار المرقاب03,highway,tertiary,road,20,25.2867115,51.5398655,0.6568,0.0050,0,0
w165487301,شارع حمد الكبير05,highway,primary,road,11,25.2826520,51.5350960,0.1772,-0.4464,0,0
w165487314,service104,highway,service,driveway,20,25.2897434,51.5496592,1.6414,0.3421,0,0
w165487315,motorway_link12,highway,motorway_link,highway,4,25.2839064,51.5504267,1.7186,-0.3070,0,0
w165487318,tertiary_link08,highway,tertiary_link,road,7,25.2898065,51.5391540,0.5852,0.3491,0,0
w165487320,المرفأ01,highway,residential,slowroad,4,25.2868842,51.5421466,0.8861,0.0242,0,0
w165494942,service105,highway,service,driveway,2,25.2751530,51.5241327,-0.9250,-1.2803,0,0
w165494943,العقبة,highway,residential,slowroad,4,25.2763022,51.5241461,-0.9237,-1.1525,0,0
w165494944,ابن الخطيب,highway,residential,slowroad,5,25.2757851,51.5246850,-0.8695,-1.2100,0,0
w165494946,نوفل بن معاوية,highway,residential,slowroad,2,25.2758911,51.5236928,-0.9692,-1.1982,0,0
w165494947,ابن الارقم,highway,residential,slowroad,15,25.2754289,51.5229256,-1.0464,-1.2496,0,0
w165499563,البخاري01,highway,residential,slowroad,4,25.2706304,51.5270050,-0.6362,-1.7832,0,0
w165499564,شارع المطار20,highway,primary,road,5,25.2763773,51.5386424,0.5338,-1.1442,0,0
w165499602,زياد بن عياض,highway,residential,slowroad,10,25.2759940,51.5357479,0.2428,-1.1868,0,0
w165499604,موسى بن نصير,highway,residential,slowroad,12,25.2765026,51.5353189,0.1997,-1.1302,0,0
w165499608,العرب06,highway,unclassified,road,5,25.2723937,51.5289798,-0.4377,-1.5871,0,0
w165499612,الخطابي,highway,residential,slowroad,10,25.2765520,51.5321396,-0.1200,-1.1247,0,0
w165571591,pedestrian05,highway,pedestrian,walkway,2,25.2846330,51.5374146,0.4104,-0.2262,0,0
w165929223,السعادة,highway,residential,slowroad,2,25.2787935,51.5218836,-1.1511,-0.8755,0,0
w165929224,الامواج,highway,residential,slowroad,4,25.2758815,51.5227276,-1.0663,-1.1993,0,0
w165929225,الياسمين,highway,residential,slowroad,13,25.2773011,51.5217426,-1.1653,-1.0414,0,0
w166518861,service106,highway,service,driveway,10,25.2902978,51.5458558,1.2590,0.4037,0,0
w166518862,service107,highway,service,driveway,13,25.2900702,51.5457717,1.2506,0.3784,0,0
w166518864,service108,highway,service,driveway,22,25.2902399,51.5459779,1.2713,0.3973,0,0
w166518865,service109,highway,service,driveway,5,25.2902697,51.5449202,1.1650,0.4006,0,0
w187482361,شارع المنصورة14,highway,secondary,road,2,25.2690349,51.5264432,-0.6927,-1.9606,0,0
w187482434,service110,highway,service,driveway,24,25.2947555,51.5220952,-1.1299,0.8994,0,0
w187490889,طريق الريان06,highway,primary,road,11,25.2899654,51.5105099,-2.2946,0.3668,0,0
w188147839,شارع احمد بن محمد بن ثني10,highway,primary,road,7,25.2797753,51.5346167,0.1291,-0.7663,0,0
w188147840,شارع احمد بن محمد بن ثني11,highway,primary,road,18,25.2814671,51.5376131,0.4303,-0.5782,0,0
w188147841,شارع احمد بن محمد بن ثني12,highway,primary,road,2,25.2799536,51.5352703,0.1948,-0.7465,0,0
w188147842,شارع احمد بن محمد بن ثني13,highway,primary,road,2,25.2798346,51.5354157,0.2094,-0.7597,0,0
w188147846,شارع احمد بن محمد بن ثني14,highway,primary,road,14,25.2794182,51.5314072,-0.1936,-0.8060,0,0
w188147847,شارع المطار21,highway,primary,road,2,25.2798095,51.5352753,0.1953,-0.7625,0,0
w188147849,شارع المطار22,highway,primary,road,6,25.2794760,51.5354035,0.2082,-0.7996,0,0
w188147852,شارع حمد الكبير06,highway,primary,road,2,25.2799769,51.5354223,0.2101,-0.7439,0,0
w188147853,شارع حمد الكبير07,highway,primary,road,5,25.2803199,51.5353374,0.2015,-0.7058,0,0
w188147855,فلسطين01,highway,residential,slowroad,9,25.2869057,51.5217009,-1.1695,0.0265,0,0
w188147857,شارع روضة الخيل03,highway,primary,road,20,25.2774444,51.5283303,-0.5030,-1.0255,0,0
w188147860,primary_link58,highway,primary_link,road,2,25.2798281,51.5353147,0.1992,-0.7605,0,0
