osm_nid,lat,lng,x,z
osm36882645,48.52475200,-121.28436100,1.354,3.583
osm36882644,48.52548300,-121.28583900,1.435,3.692
osm36882643,48.52580300,-121.28583900,1.471,3.692
osm36882642,48.52594000,-121.28480700,1.486,3.616
osm36882641,48.52573400,-121.28350000,1.463,3.520
osm36882640,48.52530000,-121.28233100,1.415,3.434
osm36882639,48.52479700,-121.28154100,1.359,3.375
osm36882638,48.52386000,-121.28050900,1.255,3.299
osm36882637,48.52123200,-121.27834500,0.962,3.140
osm36882636,48.52095800,-121.27796600,0.932,3.112
osm36882635,48.51812400,-121.27542300,0.617,2.925
osm36882634,48.51695800,-121.27387600,0.487,2.811
osm36882633,48.51670700,-121.27339500,0.459,2.775
osm36882632,48.51494700,-121.27088600,0.264,2.590
osm36882631,48.51353000,-121.26985600,0.106,2.515
osm36882630,48.51302700,-121.26930600,0.050,2.474
osm36882629,48.51250100,-121.26824100,-0.008,2.396
osm36882628,48.51181500,-121.26721000,-0.085,2.320
osm36882627,48.51099300,-121.26648800,-0.176,2.267
osm36882626,48.50923300,-121.26532100,-0.372,2.181
osm36882625,48.50790700,-121.26422100,-0.519,2.100
osm36882624,48.50690100,-121.26270900,-0.631,1.988
osm36882623,48.50633000,-121.26233200,-0.695,1.960
osm36882622,48.50550700,-121.26202300,-0.786,1.938
osm36882621,48.50537000,-121.26150800,-0.801,1.900
osm36882620,48.50491200,-121.25889500,-0.852,1.707
osm36882619,48.50477500,-121.25844800,-0.867,1.674
osm36882618,48.50434000,-121.25796800,-0.916,1.639
osm36882617,48.50370100,-121.25779600,-0.987,1.626
osm36882616,48.50237500,-121.25652600,-1.134,1.533
osm36882615,48.50148400,-121.25597700,-1.233,1.492
osm36882614,48.50111800,-121.25587400,-1.274,1.485
osm36882613,48.50107200,-121.25577100,-1.279,1.477
osm36882612,48.50066100,-121.25563400,-1.325,1.467
osm36882611,48.50033100,-121.25508400,-1.362,1.426
osm36882610,48.50023900,-121.25439700,-1.372,1.376
osm36882609,48.50023900,-121.25395000,-1.372,1.343
osm36882608,48.50034200,-121.25254100,-1.360,1.239
osm36792831,48.50070500,-121.25122900,-1.320,1.143
osm243554466,48.50102990,-121.25061460,-1.284,1.097
osm3090167005,48.47207130,-121.20854940,-4.504,-2.001
osm36882136,48.51727140,-121.25530490,0.522,1.443
osm36882137,48.51621410,-121.25522290,0.405,1.437
osm36882138,48.51562500,-121.25489500,0.339,1.413
osm36882139,48.51498500,-121.25427700,0.268,1.367
osm36882140,48.51375000,-121.25259300,0.131,1.243
osm36882141,48.51279000,-121.25171500,0.024,1.178
osm36882142,48.51248320,-121.25122900,-0.010,1.143
osm36882143,48.51230940,-121.25060360,-0.030,1.096
osm36882144,48.51227770,-121.25034640,-0.033,1.077
osm3090157263,48.51216830,-121.25005900,-0.045,1.056
osm3090157262,48.51200700,-121.24994250,-0.063,1.048
osm36861249,48.52704930,-121.34291350,1.609,7.896
osm243554985,48.52875240,-121.34141590,1.799,7.786
osm243599523,48.52882880,-121.34131270,1.807,7.778
osm243599524,48.52907480,-121.34090870,1.835,7.748
osm243599525,48.52922700,-121.34053710,1.851,7.721
osm243599526,48.52938530,-121.34013760,1.869,7.692
osm3088190293,48.52957100,-121.33968310,1.890,7.658
osm2776447558,48.52985590,-121.33915970,1.921,7.620
osm243599527,48.53023110,-121.33841360,1.963,7.565
osm2776447564,48.53043060,-121.33768690,1.985,7.511
osm2776447566,48.53058350,-121.33735450,2.002,7.487
osm2776447569,48.53081890,-121.33711440,2.029,7.469
osm243599528,48.53111320,-121.33694090,2.061,7.456
osm243599529,48.53138110,-121.33652390,2.091,7.425
osm243599530,48.53187600,-121.33462710,2.146,7.286
osm2776447597,48.53190310,-121.33385500,2.149,7.229
osm2776447594,48.53186640,-121.33334710,2.145,7.191
osm2776447584,48.53165850,-121.33148190,2.122,7.054
osm2776447582,48.53161570,-121.33026310,2.117,6.964
osm243599531,48.53175820,-121.32754230,2.133,6.764
osm2776447588,48.53179300,-121.32616330,2.137,6.662
osm2776447591,48.53182360,-121.32540620,2.140,6.607
osm243599532,48.53196500,-121.32484360,2.156,6.565
osm2776447598,48.53229440,-121.32330090,2.193,6.451
osm2776447602,48.53239830,-121.32261760,2.204,6.401
osm2776447605,48.53252680,-121.32149110,2.218,6.318
osm2776447608,48.53266740,-121.31972740,2.234,6.188
osm243599533,48.53309400,-121.31806900,2.281,6.066
osm243599534,48.53365820,-121.31563380,2.344,5.887
osm243599535,48.53373400,-121.31473200,2.353,5.820
osm243599536,48.53341400,-121.31118900,2.317,5.559
osm243599537,48.53341250,-121.31023380,2.317,5.489
osm243563793,48.53366300,-121.30947130,2.345,5.433
osm243599539,48.53404270,-121.30868600,2.387,5.375
