osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w139187359,Mainzer Landstrasse008,highway,primary,road,7,50.1119834,8.6667712,-1.0555,0.1688,0,0
w139187360,Mainzer Landstrasse009,highway,service,driveway,6,50.1106325,8.6653070,-1.1599,0.0186,0,0
w139187607,Westendstrasse005,highway,residential,slowroad,3,50.1107357,8.6632360,-1.3075,0.0301,0,0
w139188142,Karlstrasse002,highway,secondary,road,3,50.1098256,8.6638773,-1.2618,-0.0711,0,0
w139188143,Niddastrasse008,highway,residential,slowroad,9,50.1096608,8.6639893,-1.2538,-0.0894,0,0
w139189230,Elbestrasse,highway,residential,slowroad,4,50.1074321,8.6691258,-0.8875,-0.3372,0,0
w139189231,Elbestrasse001,highway,residential,slowroad,4,50.1078070,8.6687223,-0.9163,-0.2956,0,0
w139189232,Elbestrasse002,highway,residential,slowroad,8,50.1096224,8.6668192,-1.0520,-0.0937,0,0
w139189233,Elbestrasse003,highway,residential,slowroad,7,50.1091559,8.6673381,-1.0150,-0.1456,0,0
w139189234,Taunusstrasse002,highway,secondary,road,7,50.1084793,8.6648257,-1.1942,-0.2208,0,0
w139189235,Taunusstrasse003,highway,secondary,road,2,50.1095489,8.6676803,-0.9906,-0.1019,0,0
w139189236,Taunusstrasse004,highway,secondary,road,2,50.1093209,8.6670836,-1.0332,-0.1272,0,0
w142685254,footway170,highway,footway,walkway,4,50.1106302,8.6708555,-0.7642,0.0184,0,0
w142685255,footway171,highway,footway,walkway,4,50.1104654,8.6709919,-0.7545,0.0000,0,0
w142685256,Taunusanlage006,highway,secondary_link,road,3,50.1132015,8.6684927,-0.9327,0.3043,0,0
w142685257,Taunustor001,highway,secondary_link,road,9,50.1103923,8.6712884,-0.7333,-0.0081,0,0
w143559280,Taunusanlage007,highway,primary,road,2,50.1139278,8.6698289,-0.8374,0.3850,0,0
w144242505,Obermainanlage004,highway,secondary,road,14,50.1119116,8.6952858,0.9779,0.1609,0,0
w146410606,Albusstrasse003,highway,footway,walkway,2,50.1142433,8.6880892,0.4647,0.4201,0,0
w146410607,footway172,highway,footway,walkway,8,50.1141376,8.6879061,0.4517,0.4084,0,0
w147177311,Markt001,highway,pedestrian,walkway,11,50.1109015,8.6838877,0.1651,0.0485,0,0
w147177312,footway173,highway,footway,walkway,6,50.1112270,8.6842944,0.1941,0.0847,0,0
w147177316,Braubachstrasse002,highway,pedestrian,walkway,6,50.1111588,8.6837222,0.1533,0.0772,0,0
w147177318,Markt002,highway,steps,walkway,2,50.1108411,8.6844379,0.2044,0.0418,0,0
w147690832,Rueckertstrasse001,highway,residential,slowroad,3,50.1111200,8.6997680,1.2976,0.0728,0,0
w147691389,Bernhard-Grzimek-Allee002,highway,residential,slowroad,8,50.1153428,8.6994177,1.2726,0.5424,0,0
w147691836,Obermainstrasse,highway,residential,slowroad,3,50.1093822,8.6961155,1.0371,-0.1204,0,0
w147692206,Oskar-von-Miller-Strasse006,highway,residential,slowroad,10,50.1089066,8.6986479,1.2177,-0.1733,0,0
w147949862,Zoo Passage,unknown,corridor,unknown,4,50.1140796,8.6952644,0.9764,0.4019,0,0
w147949863,footway174,highway,footway,walkway,2,50.1136180,8.6956814,1.0061,0.3506,0,0
w147949865,steps037,highway,steps,walkway,2,50.1143925,8.6955708,0.9983,0.4367,0,0
w147949868,steps038,highway,steps,walkway,2,50.1140017,8.6952040,0.9721,0.3933,0,0
w147949869,path037,highway,path,walkway,6,50.1134794,8.6950584,0.9617,0.3352,0,0
w147949871,footway175,highway,footway,walkway,2,50.1143573,8.6956103,1.0011,0.4328,0,0
w147949873,footway176,highway,footway,walkway,7,50.1137020,8.6953241,0.9807,0.3599,0,0
w147949874,service072,highway,service,driveway,5,50.1144038,8.6956982,1.0073,0.4380,0,0
w147949876,corridor001,unknown,corridor,unknown,6,50.1138851,8.6956066,1.0008,0.3803,0,0
w147949880,footway177,highway,footway,walkway,19,50.1155864,8.6980487,1.1750,0.5695,0,0
w147987996,footway178,highway,footway,walkway,2,50.1134396,8.7009660,1.3830,0.3308,0,0
w147987997,service073,highway,service,driveway,2,50.1142610,8.6963909,1.0567,0.4221,0,0
w147987998,service074,highway,service,driveway,3,50.1138589,8.6975362,1.1384,0.3774,0,0
w148053450,footway179,highway,footway,walkway,6,50.1131391,8.6684707,-0.9343,0.2973,0,0
w148754584,Taunustor002,highway,secondary,road,3,50.1104980,8.6709147,-0.7600,0.0037,0,0
w148754586,Neue Mainzer Strasse003,highway,secondary,road,6,50.1092552,8.6747129,-0.4891,-0.1345,0,0
w148754587,Gallusanlage001,highway,secondary,road,4,50.1096825,8.6715285,-0.7162,-0.0870,0,0
w148754588,Taunusanlage008,highway,primary,road,4,50.1144725,8.6701852,-0.8120,0.4456,0,0
w148754589,Bockenheimer Anlage002,highway,primary,road,2,50.1158097,8.6708811,-0.7624,0.5943,0,0
w148754590,Fahrgasse004,highway,residential,slowroad,4,50.1123019,8.6859045,0.3090,0.2042,0,0
w148833507,Bendergasse005,highway,pedestrian,walkway,2,50.1105065,8.6845498,0.2123,0.0046,0,0
w148833511,Bendergasse006,highway,steps,walkway,2,50.1104444,8.6841768,0.1857,-0.0023,0,0
w150818694,Howaldtstrasse,highway,residential,slowroad,6,50.1113827,8.7023882,1.4844,0.1020,0,0
w150818696,Sonnemannstrasse003,highway,primary,road,3,50.1106874,8.7015415,1.4240,0.0247,0,0
w150818706,service075,highway,service,driveway,2,50.1115334,8.7021696,1.4688,0.1188,0,0
w150818707,footway180,highway,footway,walkway,3,50.1110833,8.7021534,1.4677,0.0687,0,0
w150818709,footway181,highway,footway,walkway,5,50.1116546,8.7019225,1.4512,0.1323,0,0
w150945637,Ostendstrasse003,highway,footway,walkway,2,50.1105710,8.6943670,0.9124,0.0118,0,0
w150945638,Weiherstrasse001,highway,pedestrian,walkway,3,50.1122578,8.6962731,1.0483,0.1993,0,0
w150945640,Weseler Werft,highway,pedestrian,walkway,121,50.1078940,8.6994370,1.2740,-0.2859,0,0
w150945682,footway182,highway,footway,walkway,2,50.1091916,8.6991127,1.2508,-0.1416,0,0
w150945684,footway183,highway,footway,walkway,2,50.1091319,8.6986750,1.2196,-0.1482,0,0
