osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w241721283,osm1488883305,osm1488880548,road,"150th Avenue Northeast.link13"
w241721283,osm3347107127,osm1488883305,road,"150th Avenue Northeast.link14"
w241721283,osm1488880231,osm3347107127,road,"150th Avenue Northeast.link15"
w241721283,osm1488880165,osm1488880231,road,"150th Avenue Northeast.link16"
w241721283,osm1488880220,osm1488880165,road,"150th Avenue Northeast.link17"
w241721283,osm2493127391,osm1488880220,road,"150th Avenue Northeast.link18"
w241721283,osm1488880564,osm2493127391,road,"150th Avenue Northeast.link19"
w241721283,osm327737720,osm1488880564,road,"150th Avenue Northeast.link20"
w241721283,osm6899437376,osm327737720,road,"150th Avenue Northeast.link21"
w241721283,osm4727460580,osm6899437376,road,"150th Avenue Northeast.link22"
w241721283,osm320996844,osm4727460580,road,"150th Avenue Northeast.link23"
w241721283,osm6899437377,osm320996844,road,"150th Avenue Northeast.link24"
w241721283,osm53247733,osm6899437377,road,"150th Avenue Northeast.link25"
w249846740,osm2563978831,osm1082877435,road,"tertiary_link001.link1"
w249846740,osm2563978833,osm2563978831,road,"tertiary_link001.link2"
w249846740,osm4274827327,osm2563978833,road,"tertiary_link001.link3"
w249846740,osm2563978835,osm4274827327,road,"tertiary_link001.link4"
w249846740,osm2563978837,osm2563978835,road,"tertiary_link001.link5"
w249846740,osm2563978839,osm2563978837,road,"tertiary_link001.link6"
w249846740,osm1082877399,osm2563978839,road,"tertiary_link001.link7"
w249846741,osm2563978841,osm1082881763,road,"tertiary_link002.link1"
w249846741,osm2563978843,osm2563978841,road,"tertiary_link002.link2"
w249846741,osm3934726146,osm2563978843,road,"tertiary_link002.link3"
w249846741,osm2563978845,osm3934726146,road,"tertiary_link002.link4"
w249846741,osm2563978847,osm2563978845,road,"tertiary_link002.link5"
w249846741,osm2563978848,osm2563978847,road,"tertiary_link002.link6"
w249846741,osm2563978850,osm2563978848,road,"tertiary_link002.link7"
w249846741,osm2563978852,osm2563978850,road,"tertiary_link002.link8"
w249846741,osm2563978827,osm2563978852,road,"tertiary_link002.link9"
w249846742,osm2563978863,osm2563978827,road,"tertiary_link003.link1"
w249846742,osm2563978855,osm2563978863,road,"tertiary_link003.link2"
w249846742,osm2563978856,osm2563978855,road,"tertiary_link003.link3"
w249846742,osm2563978859,osm2563978856,road,"tertiary_link003.link4"
w249846742,osm2563978861,osm2563978859,road,"tertiary_link003.link5"
w249846742,osm6910894222,osm2563978861,road,"tertiary_link003.link6"
w249846742,osm2563978865,osm6910894222,road,"tertiary_link003.link7"
w249846742,osm2563978867,osm2563978865,road,"tertiary_link003.link8"
w249846742,osm2563978869,osm2563978867,road,"tertiary_link003.link9"
w249846742,osm1082881766,osm2563978869,road,"tertiary_link003.link10"
w249846743,osm2563978870,osm1082877406,road,"Northeast 31st Street.link1"
w249846743,osm2563978871,osm2563978870,road,"Northeast 31st Street.link2"
w249846743,osm3934726738,osm2563978871,road,"Northeast 31st Street.link3"
w249846743,osm2563978872,osm3934726738,road,"Northeast 31st Street.link4"
w249846743,osm2563978873,osm2563978872,road,"Northeast 31st Street.link5"
w249846743,osm2563978874,osm2563978873,road,"Northeast 31st Street.link6"
w249846743,osm2563978903,osm2563978874,road,"Northeast 31st Street.link7"
w249846743,osm2563978875,osm2563978903,road,"Northeast 31st Street.link8"
w249846743,osm2563978876,osm2563978875,road,"Northeast 31st Street.link9"
