osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w402577968,footway151,highway,footway,walkway,2,47.6405485,-122.1376139,272.0894,-61.1377,0,0
w402577969,footway152,highway,footway,walkway,2,47.6407779,-122.1384059,336.3705,-65.6363,0,0
w402577970,cycleway008,highway,cycleway,walkway,2,47.6409380,-122.1392418,401.2539,-61.7481,0,0
w402589622,service128,highway,service,driveway,3,47.6441896,-122.1325198,43.1379,-571.0434,0,0
w402589623,service129,highway,service,driveway,3,47.6442637,-122.1325176,45.6516,-578.9106,0,0
w428065544,Northeast 51st Street006,highway,secondary,road,2,47.6549809,-122.1424660,1135.5592,-1460.6376,0,0
w428065550,Northeast 51st Street007,highway,secondary,road,2,47.6544035,-122.1376393,773.4187,-1519.6515,0,0
w428065553,Northeast 51st Street008,highway,secondary,road,2,47.6547556,-122.1405705,993.3949,-1483.9731,0,0
w428065557,Northeast 51st Street009,highway,secondary,road,2,47.6545366,-122.1387274,855.1631,-1506.6595,0,0
w428065563,Northeast 51st Street010,highway,secondary,road,3,47.6550408,-122.1429565,1172.4019,-1454.7814,0,0
w428065568,Northeast 51st Street011,highway,secondary,road,6,47.6548950,-122.1417430,1081.3330,-1469.5403,0,0
w428065574,Northeast 51st Street012,highway,secondary,road,2,47.6546853,-122.1399787,949.0125,-1491.2529,0,0
w428065583,motorway_link015,highway,motorway_link,highway,3,47.6547600,-122.1389702,880.3867,-1524.1582,0,0
w428065584,motorway_link016,highway,motorway_link,highway,6,47.6563671,-122.1380112,870.5152,-1717.2141,0,0
w428076506,Northeast 40th Street003,highway,secondary,road,4,47.6459648,-122.1369266,418.7710,-648.6144,0,0
w428076507,Northeast 40th Street004,highway,secondary,road,3,47.6459501,-122.1405229,672.5561,-557.7967,0,0
w428076508,Northeast 40th Street005,highway,secondary,road,3,47.6459432,-122.1411388,715.8599,-541.7862,0,0
w428076509,Northeast 40th Street006,highway,secondary,road,3,47.6459409,-122.1418160,763.6655,-524.7262,0,0
w428076510,Northeast 40th Street007,highway,secondary,road,2,47.6460247,-122.1353833,311.7918,-693.2386,0,0
w428076511,Northeast 40th Street008,highway,secondary,road,4,47.6459590,-122.1397904,621.0790,-576.9161,0,0
w428076512,Northeast 40th Street009,highway,secondary,road,5,47.6459829,-122.1379045,488.5746,-626.2473,0,0
w428076514,Northeast 40th Street010,highway,secondary,road,3,47.6459428,-122.1426707,824.1723,-503.7192,0,0
w428076515,motorway_link017,highway,motorway_link,highway,2,47.6465874,-122.1356478,350.7836,-745.9338,0,0
w428076516,motorway_link018,highway,motorway_link,highway,3,47.6366793,-122.1425496,481.6262,468.8661,0,0
w428076517,motorway_link019,highway,motorway_link,highway,4,47.6455343,-122.1340524,199.9937,-674.6172,0,0
w428078137,Northeast 40th Street011,highway,secondary,road,2,47.6460153,-122.1342798,233.4235,-719.6325,0,0
w428078140,Northeast 40th Street012,highway,secondary,road,2,47.6460278,-122.1339220,208.5721,-729.8305,0,0
